"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lin52",0.000364181957377268,-0.580239306113269,0.597,0.747,1,"Med.A1","Lin52"
"Pter",0.000364192623634816,1.1212646749787,0.661,0.507,1,"Med.A1","Pter"
"Gsg1l",0.000375986611608273,0.262858666565731,0.774,0.607,1,"Med.A1","Gsg1l"
"Fut9",0.000376296012843881,0.456560926415783,0.935,0.912,1,"Med.A1","Fut9"
"Vps53",0.000378893685203037,-0.480496697000939,0.387,0.615,1,"Med.A1","Vps53"
"Lurap1l",0.000386529358689546,-0.720329926236027,0.194,0.417,1,"Med.A1","Lurap1l"
"Cdh13",0.000391613498841799,0.583963378115254,0.903,0.81,1,"Med.A1","Cdh13"
"Cerk",0.00040286921239017,-0.336173297413791,0.306,0.529,1,"Med.A1","Cerk"
"Khdrbs3",0.00040868259824026,-0.442693837444896,0.629,0.855,1,"Med.A1","Khdrbs3"
"Gabra2",0.000417725888774485,0.67358176518855,0.919,0.786,1,"Med.A1","Gabra2"
"Pxmp4",0.000421768103418414,-1.80996767856383,0.048,0.247,1,"Med.A1","Pxmp4"
"Ttc8",0.000428080687041464,-0.271264863971394,0.758,0.902,1,"Med.A1","Ttc8"
"Kdm4c",0.000441699087374538,-0.382640586639437,0.823,0.937,1,"Med.A1","Kdm4c"
"March3",0.000467667912028762,-1.08010276809133,0.29,0.499,1,"Med.A1","March3"
"Mfap3",0.000471020414512125,-0.836306415625357,0.242,0.474,1,"Med.A1","Mfap3"
"Cped1",0.000477699703710429,-1.52890470798927,0.129,0.341,1,"Med.A1","Cped1"
"Enox1",0.000484447958848697,0.615868593885751,0.935,0.905,1,"Med.A1","Enox1"
"Smg7",0.000492719072612169,-1.0106863328463,0.613,0.761,1,"Med.A1","Smg7"
"Nkain3",0.000493698662394412,0.650630715112639,0.935,0.874,1,"Med.A1","Nkain3"
"Dzip1",0.000494428541240633,-0.762474786126125,0.516,0.71,1,"Med.A1","Dzip1"
"Plekha5",0.000504156354219332,-0.367475822427282,0.839,0.961,1,"Med.A1","Plekha5"
"Ctxn2",0.000532980381544496,1.34522021427948,0.258,0.114,1,"Med.A1","Ctxn2"
"Pxdc1",0.000540792744650811,1.13285852639597,0.161,0.057,1,"Med.A1","Pxdc1"
"Nf2",0.00054923369608432,0.561471370537106,0.855,0.854,1,"Med.A1","Nf2"
"Papss1",0.000590364171174143,-0.54577202516686,0.323,0.527,1,"Med.A1","Papss1"
"Urb1",0.000594524615706804,-2.72810184775387,0.048,0.228,1,"Med.A1","Urb1"
"Ep400",0.000594901537299535,-0.481950469405697,0.694,0.831,1,"Med.A1","Ep400"
"Mvp",0.000612670499539059,0.782866511251138,0.613,0.405,1,"Med.A1","Mvp"
