"","RNA.Lat.B1","RNA.IntP.A1","RNA.IntP.B1","RNA.IntP.B2","RNA.IntA.B1","RNA.IntA.B2"
"Tssc4",1.28647552551641,1.93924164794852,0.267368475039893,0.505692740674819,1.50413500705765,5.70824450919384
"Tacstd2",0.0154745786330268,0,0,0,0,0
"Six6",0.0159494072043951,0,0,0,0,0
"Prkd1",644.066080075929,313.188824914259,355.829009586638,631.371714694435,669.31985295363,608.509583867406
"Ccser1",4786.93841853668,3036.59821734281,4271.08608384124,4743.38344315994,3646.02603328434,4169.01414816882
"Zdhhc23",3.02311323733758,8.49186038522369,3.00338478750742,2.3195369541966,13.0924083559502,0.512779722674112
"Slit3",598.595197830913,158.691293905815,193.736447962949,111.939368236372,270.202182337907,267.36397141958
"Efna5",256.141316722174,425.154834402367,388.702741863585,313.489210628814,421.321346085193,196.232124940735
"Map7d2",349.52763963434,277.721344933071,249.571130054461,235.281069991032,362.612391341301,547.85984059215
"Csf1",7.27191533101834,5.75082806188276,5.21261051749359,9.522089457871,10.6882334888622,6.71858095441476
"Colec10",11.6554012498718,3.36873488190391,9.92814452593329,12.3187895584829,8.63276958369101,6.92784367923891
"Pla2g6",10.4919218080909,14.0740932461379,9.12950333267842,8.00782485928443,10.6392652575245,6.57885638815816
"Maml2",269.316267721311,168.217197404198,169.403517983999,122.23962642003,396.036227004076,330.946140203912
"Ss18l1",56.5067454710364,117.388234096263,57.5326657234109,62.2779115415521,93.4872554764297,97.0398927526344
"Kcnd2",2755.70019782536,3282.60445676546,2933.84968810866,2643.87571797926,2353.63261477339,1528.34908538968
"Top1mt",26.1058826591026,19.6585334029611,25.4194006437166,24.1264337406816,17.542739076365,71.299154381344
"Copb2",23.5314221509452,43.6486396894241,22.1734207171939,17.006468803359,43.862202044976,16.3875878144788
"Lrrc19",0.569294755000637,18.1652372854486,0.884288170243583,0,0.712797327620798,1.61701341324837
"Thap7",4.98578058159398,0,2.49746511357185,16.0606853346832,2.83012745515692,0.521976925846964
"Ccr10",8.69882701838105,9.16385380741553,13.4098111474563,29.0247663385981,6.53524007304134,8.83938677712814
