"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Paqr4.3",8.75136163740644e-06,-0.66092930489534,0.175,0.347,0.470797002007554,"ex_5","Paqr4"
"Prepl",8.77832840688825e-06,-0.348879366921221,0.581,0.754,0.472247733305367,"ex_5","Prepl"
"Slc33a1.1",8.85073178937904e-06,-0.521724712312645,0.212,0.388,0.476142818073224,"ex_5","Slc33a1"
"Ddx41.1",8.86479388400703e-06,-0.655828617966398,0.194,0.37,0.476899316577926,"ex_5","Ddx41"
"Gm16126.3",8.86549097248298e-06,-0.474761341654549,0.294,0.476,0.476936817846667,"ex_5","Gm16126"
"Sdhaf2.1",9.0762080591388e-06,-0.578405364431917,0.35,0.536,0.48827276495749,"ex_5","Sdhaf2"
"Cep63",9.07919246896516e-06,-0.260689385832355,0.231,0.411,0.488433317252919,"ex_5","Cep63"
"Gm10123.2",9.13506303542917e-06,0.434295638813821,0.831,0.847,0.491438986116983,"ex_5","Gm10123"
"Lonrf3",9.14802159517076e-06,0.911255434208059,0.2,0.092,0.492136117755401,"ex_5","Lonrf3"
"Tpgs2.1",9.20086933186633e-06,-0.268209918328064,0.306,0.513,0.494979167446413,"ex_5","Tpgs2"
"Coro7.1",9.23350113933621e-06,-0.28587385690444,0.3,0.471,0.49673466079287,"ex_5","Coro7"
"Gnpat",9.41811195541471e-06,-0.438175192617019,0.394,0.587,0.506666168865445,"ex_5","Gnpat"
"Axin1.1",9.46052354243688e-06,-0.369558119439766,0.625,0.77,0.508947785012477,"ex_5","Axin1"
"Mapkbp1",9.50561680785991e-06,-0.584563986671509,0.331,0.504,0.51137366741244,"ex_5","Mapkbp1"
"Pard3",9.62353611278097e-06,-0.293229233850736,0.869,0.93,0.517717372259278,"ex_5","Pard3"
"Topbp1.5",9.81100126000745e-06,-0.590737509724077,0.206,0.367,0.527802434784621,"ex_5","Topbp1"
"Map3k3",9.86924978097606e-06,-0.268889877943501,0.556,0.714,0.530936030467169,"ex_5","Map3k3"
"Scp2.1",1.00270294891063e-05,-1.08637033650613,0.231,0.389,0.539424105425451,"ex_5","Scp2"
"Kcnk1.2",1.04540076786127e-05,-0.280278310203341,0.4,0.583,0.562394251086327,"ex_5","Kcnk1"
"Clasrp.1",1.04701879829181e-05,-0.301124540607488,0.45,0.678,0.563264702917047,"ex_5","Clasrp"
"9330158H04Rik",1.04714300530507e-05,2.1716152697329,0.238,0.127,0.563331522563968,"ex_5","9330158H04Rik"
"Pdpr",1.06012031602761e-05,-0.552122744708367,0.412,0.583,0.570312926413374,"ex_5","Pdpr"
"Nup50.1",1.0661921525812e-05,-0.712057678240375,0.219,0.388,0.573579392324111,"ex_5","Nup50"
"Pip5k1a.2",1.06925187832431e-05,-0.639946636378887,0.494,0.662,0.57522543298213,"ex_5","Pip5k1a"
"Ldhb.2",1.08023048647413e-05,-0.301234303613167,0.756,0.948,0.581131594808487,"ex_5","Ldhb"
"Wdr76.1",1.0901831859366e-05,-0.477080975773442,0.369,0.549,0.586485848538314,"ex_5","Wdr76"
"Gm6712",1.09028061612158e-05,-0.30820553573016,0.25,0.436,0.586538263054929,"ex_5","Gm6712"
"3110043O21Rik",1.10199556176093e-05,0.258147797131772,0.244,0.429,0.592840552360529,"ex_5","3110043O21Rik"
"Tmem250-ps.1",1.11170698538926e-05,-0.402377929519536,0.531,0.733,0.598065006929858,"ex_5","Tmem250-ps"
"Usp38",1.1142754409044e-05,-0.530415068930157,0.269,0.443,0.599446758943342,"ex_5","Usp38"
"Mcm3ap",1.13090339950604e-05,-0.365204898872154,0.312,0.495,0.608392101832262,"ex_5","Mcm3ap"
