"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nkain2",5.69486285839192e-51,-2.24258175384504,0.936,0.999,6.74784300090859e-47,"Med.A1","Nkain2"
"Nars",6.02939492505881e-51,1.74131554715941,0.991,0.808,7.14423004670218e-47,"Med.A1","Nars"
"Aff2",6.18341546413278e-51,-2.68917143172758,0.862,0.987,7.32672898345093e-47,"Med.A1","Aff2"
"Hecw1",6.5919785717711e-51,-2.66941844069718,0.67,0.979,7.81083540969157e-47,"Med.A1","Hecw1"
"Chst8",6.89821418275519e-51,-2.50111550372372,0.587,0.986,8.17369398514663e-47,"Med.A1","Chst8"
"Slc4a10",6.99082248040255e-51,-2.80477896964626,0.532,0.969,8.28342555702898e-47,"Med.A1","Slc4a10"
"Gas7",7.14768555355332e-51,-3.34017254170523,0.367,0.956,8.46929261240533e-47,"Med.A1","Gas7"
"Tpi1",7.5449385743091e-51,1.7199355319851,1,0.921,8.93999771669885e-47,"Med.A1","Tpi1"
"Grid2",8.78770531334688e-51,-3.1733165307583,0.67,0.979,1.04125520257847e-46,"Med.A1","Grid2"
"Ctnna2",1.15064637065028e-50,-1.84867237357838,0.807,0.999,1.36340088458352e-46,"Med.A1","Ctnna2"
"Adam22",1.16767629201111e-50,-2.50896784831267,0.743,0.987,1.38357963840396e-46,"Med.A1","Adam22"
"Sbf2",1.30525592163924e-50,-2.92693401204196,0.789,0.976,1.54659774155033e-46,"Med.A1","Sbf2"
"Erc1",1.36922081060123e-50,-2.33630659101315,0.862,0.997,1.6223897384814e-46,"Med.A1","Erc1"
"Grid1",1.42171800447294e-50,-2.9639618065001,0.881,0.986,1.68459366349998e-46,"Med.A1","Grid1"
"Nrcam",1.75462529252847e-50,-2.63399312515055,0.596,0.98,2.07905550911698e-46,"Med.A1","Nrcam"
"Chchd2",3.6819743877473e-50,1.58525897086017,1,0.935,4.36277145204177e-46,"Med.A1","Chchd2"
"Pard3b",8.54098491794448e-50,-2.52545825210958,0.908,0.994,1.01202130292724e-45,"Med.A1","Pard3b"
"Zmiz1",9.28689957247042e-50,-2.96561902338916,0.771,0.978,1.10040473034202e-45,"Med.A1","Zmiz1"
"Nrg2",1.19199796773433e-49,-3.07963821448698,0.624,0.966,1.41239839196841e-45,"Med.A1","Nrg2"
"Zfp407",1.20545877892413e-49,-3.16559386797234,0.376,0.951,1.4283481071472e-45,"Med.A1","Zfp407"
"Ccny",1.22268007156114e-49,-4.74092784948888,0.073,0.893,1.44875361679279e-45,"Med.A1","Ccny"
"Tspan4",1.25057205876372e-49,-2.95768854457302,0.954,0.992,1.48180283242913e-45,"Med.A1","Tspan4"
"Dmxl1",1.4209908433065e-49,-2.64098202500405,0.349,0.956,1.68373205023387e-45,"Med.A1","Dmxl1"
"Fut9",1.53021634500816e-49,-2.11152859281107,0.771,0.994,1.81315334720016e-45,"Med.A1","Fut9"
"Cask",1.76608709687546e-49,-1.9671605779517,0.954,0.999,2.09263660108774e-45,"Med.A1","Cask"
